hugo_symbol,ensembl_gene_id_version,ANNOT
PTPRD,ENSG00000282932,TSG
PTPRD,ENSG00000153707,TSG
PTPRT,ENSG00000196090,TSG
RAD17,ENSG00000152942,TSG
RAD17,ENSG00000276618,TSG
RB1,ENSG00000139687,TSG
RBM10,ENSG00000182872,TSG
RFWD3,ENSG00000168411,TSG
RNF43,ENSG00000108375,TSG
ROBO2,ENSG00000185008,TSG
RPL10,ENSG00000147403,TSG
RPL5,ENSG00000122406,TSG
SBDS,ENSG00000126524,TSG
SDHA,ENSG00000073578,TSG
SDHAF2,ENSG00000167985,TSG
SDHB,ENSG00000117118,TSG
SDHC,ENSG00000143252,TSG
SDHD,ENSG00000204370,TSG
SETD1B,ENSG00000139718,TSG
SETD2,ENSG00000181555,TSG
SFRP4,ENSG00000106483,TSG
SH2B3,ENSG00000111252,TSG
SIRPA,ENSG00000198053,TSG
SMAD2,ENSG00000175387,TSG
SMAD3,ENSG00000166949,TSG
SMAD4,ENSG00000141646,TSG
SMARCA4,ENSG00000127616,TSG
SMARCB1,ENSG00000099956,TSG
SMARCB1,ENSG00000275837,TSG
SMARCD1,ENSG00000066117,TSG
SMARCE1,ENSG00000073584,TSG
SMC1A,ENSG00000072501,TSG
SOCS1,ENSG00000185338,TSG
SOX21,ENSG00000125285,TSG
SPEN,ENSG00000065526,TSG
SPOP,ENSG00000121067,TSG
STAG1,ENSG00000118007,TSG
STAG2,ENSG00000101972,TSG
STK11,ENSG00000118046,TSG
SUFU,ENSG00000107882,TSG
TENT5C,ENSG00000183508,TSG
TET2,ENSG00000168769,TSG
TGFBR2,ENSG00000163513,TSG
TMEM127,ENSG00000135956,TSG
TNFAIP3,ENSG00000118503,TSG
TNFRSF14,ENSG00000157873,TSG
TNFRSF14,ENSG00000273936,TSG
TRAF7,ENSG00000131653,TSG
TSC1,ENSG00000165699,TSG
TSC2,ENSG00000103197,TSG
USP44,ENSG00000136014,TSG
VHL,ENSG00000134086,TSG
WNK2,ENSG00000165238,TSG
WRN,ENSG00000165392,TSG
XPA,ENSG00000136936,TSG
XPC,ENSG00000154767,TSG
ZFHX3,ENSG00000140836,TSG
ZMYM3,ENSG00000147130,TSG
ZNRF3,ENSG00000183579,TSG
ZRSR2,ENSG00000169249,TSG
ABI1,ENSG00000136754,TSG
ARHGAP26,ENSG00000145819,TSG
ARHGEF12,ENSG00000196914,TSG
ARID1A,ENSG00000117713,TSG
BCL10,ENSG00000142867,TSG
BCOR,ENSG00000183337,TSG
BTG1,ENSG00000133639,TSG
CAMTA1,ENSG00000171735,TSG
CBFA2T3,ENSG00000129993,TSG
CBFB,ENSG00000067955,TSG
CCDC6,ENSG00000108091,TSG
CCNB1IP1,ENSG00000100814,TSG
CD274,ENSG00000120217,TSG
CDH11,ENSG00000140937,TSG
CDX2,ENSG00000165556,TSG
CIITA,ENSG00000179583,TSG
CLTC,ENSG00000141367,TSG
CLTCL1,ENSG00000070371,TSG
